Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
ecoli_,3,Heuristic (FhS) with shifts,0.6,160,14.042547215937354,36,11,120.09491395950317,1
ecoli_,3,Heuristic (FhS) with shifts,0.8,214,14.529908320552,35,10,120.32045102119446,1
ecoli_,3,Exact (FeS),0.0,8,3.07692189349158,152,43,120.06054997444153,3
ecoli_,3,Exact (FeS),0.2,53,6.747633640387224,86,25,120.0623869895935,1
ecoli_,3,Exact (FeS),0.4,107,11.203314853396327,55,11,120.08306217193604,1
ecoli_,3,Exact (FeS),0.6,160,16.521731947073068,48,16,120.09534621238708,1
ecoli_,3,Exact (FeS),0.8,214,18.061666052129492,42,14,120.117928981781,1
ecoli_,4,Univariate,0.0,8,0.0,154,33,0.7841110229492188,1
ecoli_,4,Univariate,0.2,53,19.35504686880111,64,20,120.04011297225952,1
ecoli_,4,Univariate,0.4,107,20.72071138706694,44,14,120.07350897789001,1
ecoli_,4,Univariate,0.6,160,19.642848373728405,44,11,120.11038708686829,1
ecoli_,4,Univariate,0.8,214,19.111102617287724,40,15,120.40433096885681,1
ecoli_,4,Univariate,1.0,268,18.58406257342364,36,12,120.80879092216492,1
ecoli_,4,Heuristic (FhS),0.0,8,4.280153976593784,71,27,120.58151197433472,3
ecoli_,4,Heuristic (FhS),0.2,53,3.07692189349158,132,34,120.06144094467163,1
ecoli_,4,Heuristic (FhS),0.4,107,11.666661805557581,37,11,120.11645698547363,1
ecoli_,4,Heuristic (FhS),0.6,160,24.074062928674568,54,16,120.17212510108948,1
ecoli_,4,Heuristic (FhS),0.8,214,18.061666052129492,38,14,120.32911896705627,1
ecoli_,4,Heuristic (FhS) with shifts,0.0,8,4.280153976593784,71,27,120.33486700057983,3
ecoli_,4,Heuristic (FhS) with shifts,0.2,53,3.07692189349158,132,34,120.05935502052307,1
ecoli_,4,Heuristic (FhS) with shifts,0.4,107,11.666661805557581,37,11,120.1863648891449,1
ecoli_,4,Heuristic (FhS) with shifts,0.6,160,24.074062928674568,54,16,120.47362112998962,1
ecoli_,4,Heuristic (FhS) with shifts,0.8,214,17.030560248663647,35,16,120.23359107971191,1
ecoli_,4,Exact (FeS),0.0,8,NaN,65,18,120.06353211402893,5
ecoli_,4,Exact (FeS),0.2,53,3.47490213324242,117,38,120.13010501861572,1
ecoli_,4,Exact (FeS),0.4,107,12.605036720572807,61,16,120.17555093765259,1
ecoli_,4,Exact (FeS),0.6,160,19.111102617287724,45,14,120.19905400276184,1
ecoli_,4,Exact (FeS),0.8,214,72.90317877214272,113,31,120.25925803184509,1
